,DFT,ML
CEKSEQ02_FSR,0.4994520000000002,0.5184359018724862
SOMMOY_FSR,1.632266,1.9139149340600596
FONQOP01_FSR,3.213095,3.067517590323426
OGUVES_FSR,0.3890880000000001,0.8804655585708687
QULTUO_FSR,1.9336080000000002,2.119475431441984
ROPWEA_FSR,0.949652,0.9322377396133419
FAPZUU_FSR,3.341629,3.5373036915573906
MENTOR_FSR,3.5694589999999997,3.5535665877635587
DUWKAJ_FSR,3.169249,2.7525637880840677
PIGXIN_FSR,3.8005089999999995,3.778684077661076
WAMZIV_FSR,2.062433,2.429802448603546
AZEBAK01_FSR,1.7478209999999998,1.6608570157634048
FIMKEU_FSR,1.222751,1.533674331153719
KAQYIL_FSR,1.513072,1.3341771496303636
DEPVUQ_FSR,1.9759070000000003,1.922178205056472
RUCRUE_FSR,3.484628,3.369315136411558
QUCFEA_FSR,2.074769,2.3354916969982185
AFEGAV_FSR,3.2572590000000003,3.044454990866022
FELYEB_FSR,2.567014,2.7445300974202738
FIQPAZ_FSR,2.63669,2.847036126052018
NIFXEI_FSR,2.516786,2.196360431829987
TIYXIL01_FSR,1.2803099999999998,1.4149355531970613
BEGHAZ_FSR,2.887984,2.8076699496003243
TAPHOH_FSR,1.012161,1.0505943037668075
VUNMOI_FSR,0.226469,0.3959353768377767
CIVWAG_FSR,0.25905300000000003,0.2319306244752184
DIYYIW_FSR,3.513457,3.4127591032035696
HAVYAG_FSR,1.450842,2.279534884138009
DURGAY_FSR,4.773436,4.677623253323006
ASEWUQ_FSR,0.9347120000000001,0.9430486910404454
REKPIJ_FSR,0.712083,0.7879662472868105
OFANAM_FSR,0.662147,0.4751120929535091
VOGTER_FSR,2.0091799999999997,2.4246777930090637
PIZGAJ_FSR,1.4563670000000002,1.5020885839620277
FODGUB02_FSR,2.7679780000000003,2.9551354511026204
FORWUF01_FSR,0.032480000000000064,0.051640235708749316
IJUYIV_FSR,2.282412,2.202505371161166
NETGEZ_FSR,2.055469,1.8955629943419154
YOTQUV_FSR,2.715554,2.7068363295719564
AWOLUU_FSR,3.230167,3.1106838991216748
CUYDEG_FSR,0.86659,0.811792680016346
MOCHES_FSR,3.447431,3.420182608666133
GIMKUJ_FSR,2.761485,2.5830058393645317
POCTAD_FSR,1.713882,1.9566023853554526
CIMRUN_FSR,2.2017599999999997,2.229395558510589
ELAFUT_FSR,2.5256540000000003,2.6482749310839253
KICCAD_FSR,0.8711730000000001,0.9055992679982552
PIJGAR_FSR,1.8264200000000002,2.0744545271796895
HIPMIE_FSR,2.177555,2.256205614380157
PAMGER_FSR,0.4704000000000002,0.7412696582524241
NUZZEN_FSR,0.8880379999999999,1.4740107279180563
ADABEO_FSR,0.7275720000000001,0.8839459239019618
MUQBEG_FSR,3.341443,3.1029968075626186
