,DFT,ML
AGOJOX_FSR,3.15116,2.8897509998170534
VEVZUS_FSR,2.261851,2.13138789443526
MUVBAI_FSR,1.670221,2.2045530634733943
DAYRIG_FSR,2.353132,2.357000000227224
XEGGIA_FSR,4.252993,3.9090783473243036
CUKBEQ_FSR,2.242737,2.433992494549443
BIZPUX_FSR,0.34607899999999997,0.5492041805971901
GIQXOU_FSR,0.333964,0.363795886765649
SIJREJ_FSR,2.959957,2.691156137297792
OFOYIR_FSR,1.386259,1.3336724400889182
CAXDEM_FSR,2.231979,2.138619584055178
PAHTOI_FSR,3.392625,3.351375058920344
PEGZEI_FSR,0.747047,0.5535578490870492
TIZPUP_FSR,0.978261,1.3842854874934218
IWAXUA_FSR,3.095198,2.7216870276074943
UKINOT_FSR,3.247974,3.0460239362978427
MAZNIL_FSR,4.03023,3.695981229338649
GIWYET_FSR,2.952515,2.9574379248963183
KIPXIT_FSR,0.9187540000000001,0.7711529718796726
ROZXAH_FSR,4.556513,4.605376350572477
BUHDAL_FSR,0.937634,0.8731107888730918
HIGGUB_FSR,2.455705,2.477948230021358
FUMDOG_FSR,2.990741,2.9915128001617806
DECMII_FSR,2.597544,2.493615229095422
IWOWIB_FSR,1.825506,1.974551408110969
QAVROW_FSR,3.23722,2.894008207991675
PERREL_FSR,2.123145,2.0643867087364143
MIWNEN_FSR,3.023086,3.064808271088065
RUVMAX_FSR,2.946468,2.8267393044031905
FEQREA_FSR,3.24925,3.450260535462025
EXOSEQ_FSR,3.7147669999999997,3.7016278491808734
JUYVOO_FSR,3.463796,3.3947520198363215
EHODEL_FSR,2.252561,2.139390710278672
RASREK_FSR,3.215019,3.3560022230686073
UGOKUY_FSR,0.205362,0.34420529927982635
GUHJOJ_FSR,2.058745,2.1893359146673284
CDCACD_FSR,4.0711260000000005,4.08227660044899
ZOHBUV_FSR,2.8864520000000002,2.780107645611679
ADAPAX_FSR,2.793043,2.662240941008079
POPCOO_FSR,3.25223,3.081441250020564
PUDGIG_FSR,1.116649,1.1043427094315206
HALZEA_FSR,3.0684549999999997,2.60193411610949
QIWSEU_FSR,2.887668,2.686274558938031
XOKQUL_FSR,2.055123,1.9718574977148648
VAZMEQ_FSR,2.957105,2.89273519357711
MEHRIA_FSR,3.222907,3.2079216345439328
ILAZOM_FSR,3.017057,2.5062821985083374
PIJYAL_FSR,3.036349,2.487729749121659
XEDXUC_FSR,3.4849010000000002,3.1960260906947546
XOTSUV_FSR,4.020328,3.501610019101772
WALZUG_FSR,2.69521,2.6939406879243286
OCUKUV_FSR,2.201675,2.2339906077151994
IYAROR_FSR,0.9580200000000001,1.1062448270298653
GIQYOV_FSR,0.33646,0.3719875989374746
JIZCON_FSR,2.486827,2.3862328507585246
BOHFAF_FSR,1.619607,1.5999809226645993
FEJLUD_FSR,0.716867,0.7301983107968226
DUXZEC_FSR,1.380562,1.3022436464300604
XEZMIA_FSR,2.871655,2.5929606549896675
AQIDUA01_FSR,1.934129,2.0078332143028383
UHIYAN_FSR,0.555213,0.4813333173333305
IPIPII_FSR,0.925026,0.7866653779062247
TEKRIM_FSR,2.80681,2.6770609383745096
PEPXIS_FSR,4.624439,4.492562400902205
QUJKIQ_FSR,2.095957,2.2157525490868046
DUKYAL_FSR,0.387545,0.839896585832701
JIFXOM_FSR,4.768826,4.624813756930845
MIJJIZ_FSR,1.509187,1.4887496717306856
APUVIS_FSR,3.2142310000000003,3.11839311830785
LARYIO_FSR,3.042998,3.0258327568294447
CIBYAO_FSR,2.945598,2.8264210268534704
FODREX_FSR,2.03693,2.09876745914217
TABPES_FSR,1.516198,1.6057265519524648
FAXNOI_FSR,4.333042,4.100400580084358
QOTJOY_FSR,0.930847,0.7252391606119026
KAHKIO_FSR,0.02623,0.2955406225402726
MAWPOS_FSR,2.350048,2.415228253984452
NUHCAV_FSR,2.3185290000000003,2.3245373978227875
HAJBIF_FSR,1.586008,1.691850595950779
VEPJAD_FSR,2.293767,2.250378438175346
BEZYIQ_FSR,0.8796309999999999,0.7625531177104108
UFAVAZ_FSR,0.869274,0.9715523671897408
XOMPAR_FSR,1.803063,2.1478138100978086
ECEZES_FSR,1.7015900000000002,1.4740994734580397
POKZAS_FSR,2.19897,2.1353650198172893
NEZNAJ_FSR,3.059385,2.9124305737593446
FEQSOK_FSR,2.881579,2.351079263461294
FAKQEN02_FSR,0.913158,1.0580316621105403
SOCCUJ_FSR,3.351196,3.2641378832246897
VALFUL_FSR,2.6980169999999997,2.449983559976694
IHUZAO_FSR,6.445777,6.046087322634376
KIHNEU_FSR,2.638872,2.599627278894552
WOKSEW_FSR,3.8335779999999997,3.6167636572220463
CILQEW_FSR,2.570481,2.8503093565957194
EPAKIQ_FSR,2.612759,2.2025462646364744
FEHJIN_FSR,3.581758,3.7181686667884932
CAYKIY_FSR,2.504163,2.6269316954797866
QEKKUO_FSR,2.214055,2.2839215131985213
LIFGUD_FSR,0.8693420000000001,1.1961974243565194
BEDJEA_FSR,2.507743,2.3651317788681467
NARTOR_FSR,3.1791009999999997,2.933967861051862
EJOPID_FSR,2.9420580000000003,2.9891070881108384
FADZIW_FSR,3.071905,2.788006567915623
YEBBEN_FSR,2.85755,2.712010570375856
QUPXUW_FSR,2.406905,2.183676459199196
FITTEH_FSR,1.483507,1.5773374647312153
OXIXIE_FSR,2.380579,2.370335482734953
AQANOW_FSR,3.081039,2.9595424246069584
BUXKIQ_FSR,0.17788199999999998,0.26151392459853184
SAYWUN_FSR,0.8828309999999999,1.0014729537899
UFOMIO_FSR,2.273086,1.9211137495820196
HEHBAZ01_FSR,3.183969,2.967411528403119
SINKIL_FSR,2.4336130000000002,2.662166290834719
BOJMIY_FSR,2.966322,2.990619602689712
NAWXOZ_FSR,3.7317129999999996,3.782163686237716
ACOVEU_FSR,0.441175,0.5710429883977746
FOPVUC_FSR,2.539298,2.251371590350665
SEYVAU_FSR,3.3942419999999998,3.28930004767831
QUQHAM01_FSR,0.395394,0.3826180544516191
YOZGUR_FSR,2.989402,2.7589791117855142
MAYWOB_FSR,3.986479,3.520252292874506
ALATAK_FSR,1.378061,2.1191978840272796
IPAYON_FSR,2.5823959999999997,2.533230197359515
YIXKEV_FSR,0.753703,0.9284197479100484
RAVJUV_FSR,3.029568,2.9829800486867057
IBOPOH_FSR,1.7302080000000002,2.0606790097473606
DACWAG_FSR,2.9735080000000003,2.6762719114692644
HAFDEA01_FSR,1.321417,1.297254362994071
COCYUP_FSR,0.9026069999999999,1.2389687766140014
WEMRAI_FSR,3.018011,2.874856579895919
RUQBOW01_FSR,2.477377,2.760479215484125
IROQAI_FSR,4.557531,4.490918125872394
KIJYIM_FSR,1.447208,1.469672114921293
ALOWAA_FSR,1.292418,1.3219833837924844
KAXTEK_FSR,2.87538,2.5560130191648582
KIXTIW_FSR,0.8500780000000001,1.3815427241066836
VUSNUT_FSR,0.020075,0.174963987905425
HUKSEM_FSR,3.285138,3.161999975400004
COHPEU01_FSR,4.4391620000000005,4.224990992824601
PIHKUN_FSR,2.709171,2.932776474929252
EVINAA_FSR,2.228575,2.505599463499628
AFICAU_FSR,1.769954,1.8610222790478765
NIHNAV_FSR,2.0105869999999997,2.116224107797944
UJUFIO_FSR,2.2293830000000003,2.156487316563819
OKUWOI_FSR,3.660507,3.6702125755122506
WUVYOC_FSR,0.795258,0.7077548476816418
SOQDAE_FSR,2.38715,2.6798224734300256
NIRROX_FSR,0.857585,0.9214912987487871
POCNUR_FSR,3.43857,3.03959215863129
RUHVEX_FSR,2.504079,2.4325060757652466
MEHFOX_FSR,0.956418,1.4848084060444897
COJRUP_FSR,2.79215,2.748518817668643
