,DFT,ML
AGOJOX_FSR,3.15116,2.2073629413833658
VEVZUS_FSR,2.261851,2.3168847752549198
MUVBAI_FSR,1.670221,2.953609447807935
DAYRIG_FSR,2.353132,2.3547086977904144
XEGGIA_FSR,4.252993,2.8743207777092152
CUKBEQ_FSR,2.242737,2.4126464995140964
BIZPUX_FSR,0.346079,0.596485761622148
GIQXOU_FSR,0.333964,0.8895083433383206
SIJREJ_FSR,2.959957,2.8193767623508847
OFOYIR_FSR,1.386259,1.0580341789360546
CAXDEM_FSR,2.231979,2.477245161881939
PAHTOI_FSR,3.392625,3.5209004352438455
PEGZEI_FSR,0.747047,1.1442486316163922
TIZPUP_FSR,0.978261,1.0163594567358771
IWAXUA_FSR,3.095198,2.678892477793454
UKINOT_FSR,3.247974,2.7107302457467597
MAZNIL_FSR,4.03023,2.5968957077030836
GIWYET_FSR,2.952515,2.9101511526093873
KIPXIT_FSR,0.918754,0.656429184756604
ROZXAH_FSR,4.556513,3.332412801644665
BUHDAL_FSR,0.937634,1.0042781681927408
HIGGUB_FSR,2.455705,3.0145302482391116
FUMDOG_FSR,2.990741,2.719849732676721
DECMII_FSR,2.597544,2.2522147317649512
IWOWIB_FSR,1.825506,1.8436147324305807
QAVROW_FSR,3.23722,2.7245253984638396
PERREL_FSR,2.123145,1.7960850275616451
MIWNEN_FSR,3.023086,3.701720366221963
RUVMAX_FSR,2.946468,2.601902006010363
FEQREA_FSR,3.24925,2.993566188274059
EXOSEQ_FSR,3.714767,2.998037126679094
JUYVOO_FSR,3.463796,3.007573340288701
EHODEL_FSR,2.252561,2.1416163004057296
RASREK_FSR,3.215019,3.0096935835644842
UGOKUY_FSR,0.205362,1.12591510921564
GUHJOJ_FSR,2.058745,2.2565297821317927
CDCACD_FSR,4.0711260000000005,3.3727704035052852
ZOHBUV_FSR,2.886452,3.022268996072853
ADAPAX_FSR,2.793043,3.42430670186684
POPCOO_FSR,3.25223,2.4924089131536533
PUDGIG_FSR,1.116649,1.1354201475142531
HALZEA_FSR,3.068455,1.7720875418216622
QIWSEU_FSR,2.887668,2.466500831872011
XOKQUL_FSR,2.055123,1.97784099687793
VAZMEQ_FSR,2.957105,3.110111734863466
MEHRIA_FSR,3.222907,2.2472568801458976
ILAZOM_FSR,3.017057,1.803344437004796
PIJYAL_FSR,3.036349,3.00610001199297
XEDXUC_FSR,3.484901,2.718464500773166
XOTSUV_FSR,4.020328,2.9660559371355646
WALZUG_FSR,2.69521,2.930256936131954
OCUKUV_FSR,2.201675,2.2336876391253213
IYAROR_FSR,0.95802,1.2148638633574365
GIQYOV_FSR,0.33646,1.3268444968076096
JIZCON_FSR,2.486827,1.9134254355667508
BOHFAF_FSR,1.619607,1.413344527719147
FEJLUD_FSR,0.716867,0.9613963174208209
DUXZEC_FSR,1.380562,0.5857984708109427
XEZMIA_FSR,2.871655,2.5463639914613623
AQIDUA01_FSR,1.934129,2.496847488928296
UHIYAN_FSR,0.555213,0.9545433686899685
IPIPII_FSR,0.925026,0.9480600179904428
TEKRIM_FSR,2.80681,2.615198532570389
PEPXIS_FSR,4.624439,3.6899187410269008
QUJKIQ_FSR,2.095957,3.019748091604839
DUKYAL_FSR,0.387545,1.0610809997840533
JIFXOM_FSR,4.768826,3.8042614409215787
MIJJIZ_FSR,1.509187,1.7591864028073871
APUVIS_FSR,3.2142310000000003,2.5985801716955734
LARYIO_FSR,3.042998,3.1737036305970605
CIBYAO_FSR,2.945598,2.4794263026791583
FODREX_FSR,2.03693,2.170245574417862
TABPES_FSR,1.516198,2.2054677438533474
FAXNOI_FSR,4.333042,3.6808089210744015
QOTJOY_FSR,0.930847,1.018425808228983
KAHKIO_FSR,0.02623,1.1413380793676708
MAWPOS_FSR,2.350048,3.115485221248832
NUHCAV_FSR,2.3185290000000003,2.5555038595330757
HAJBIF_FSR,1.586008,1.5583107387469255
VEPJAD_FSR,2.293767,2.290252218380026
BEZYIQ_FSR,0.8796309999999999,0.8265704143467758
UFAVAZ_FSR,0.869274,0.9692831279562739
XOMPAR_FSR,1.803063,1.9371930986239931
ECEZES_FSR,1.7015900000000002,1.2442393442078128
POKZAS_FSR,2.19897,1.9472163528465387
NEZNAJ_FSR,3.059385,2.9763259236362103
FEQSOK_FSR,2.881579,2.8459117714102717
FAKQEN02_FSR,0.913158,1.2038088810949432
SOCCUJ_FSR,3.351196,3.0793431908684
VALFUL_FSR,2.698017,2.493881277098339
IHUZAO_FSR,6.445777,3.470380141518973
KIHNEU_FSR,2.638872,2.898249663677575
WOKSEW_FSR,3.833578,3.185137324205755
CILQEW_FSR,2.570481,2.787628192834262
EPAKIQ_FSR,2.612759,2.2533115245812496
FEHJIN_FSR,3.581758,3.357395330378239
CAYKIY_FSR,2.504163,2.785747106192474
QEKKUO_FSR,2.214055,2.247924800195463
LIFGUD_FSR,0.8693420000000001,0.45949267241822156
BEDJEA_FSR,2.507743,2.0535564807600224
