MOF,DFT,ML
CEKSEQ02_FSR,0.4994520000000002,0.5617037447140412
SOMMOY_FSR,1.632266,2.1487092375606895
FONQOP01_FSR,3.213095,3.0092883021785255
OGUVES_FSR,0.3890880000000001,0.9329166366900811
QULTUO_FSR,1.9336080000000002,1.903311022856486
ROPWEA_FSR,0.949652,1.3710588341391277
FAPZUU_FSR,3.341629,3.471861040146718
MENTOR_FSR,3.5694589999999997,3.258437246726467
DUWKAJ_FSR,3.169249,2.9584857035158474
PIGXIN_FSR,3.8005089999999995,3.8908647443286646
WAMZIV_FSR,2.062433,2.171110607868711
AZEBAK01_FSR,1.7478209999999998,1.552805977147309
FIMKEU_FSR,1.222751,1.1729179877494778
KAQYIL_FSR,1.513072,1.4347500237282458
DEPVUQ_FSR,1.9759070000000003,1.8618638685621178
RUCRUE_FSR,3.484628,3.110821577930497
QUCFEA_FSR,2.074769,2.2005877296547838
AFEGAV_FSR,3.2572590000000003,3.2197656248153317
FELYEB_FSR,2.567014,2.7956665313016527
FIQPAZ_FSR,2.63669,2.610645716169967
NIFXEI_FSR,2.516786,2.07396969353853
TIYXIL01_FSR,1.2803099999999998,1.375234217045739
BEGHAZ_FSR,2.887984,2.942139759924829
TAPHOH_FSR,1.012161,1.4586769847735144
VUNMOI_FSR,0.226469,0.41287317718149075
CIVWAG_FSR,0.25905300000000003,0.07575438851740704
DIYYIW_FSR,3.513457,3.6244984922646633
HAVYAG_FSR,1.450842,1.8025209503031778
DURGAY_FSR,4.773436,4.6801107189171445
ASEWUQ_FSR,0.9347120000000001,1.0805143801867414
REKPIJ_FSR,0.712083,0.6475511918995905
OFANAM_FSR,0.662147,0.554671778639017
VOGTER_FSR,2.0091799999999997,2.3000424159642594
PIZGAJ_FSR,1.4563670000000002,1.6002856584192038
FODGUB02_FSR,2.7679780000000003,2.5587036477073632
FORWUF01_FSR,0.032480000000000064,-0.02890912198805808
IJUYIV_FSR,2.282412,2.1898776193135987
NETGEZ_FSR,2.055469,2.266983795808232
YOTQUV_FSR,2.715554,2.679534476445091
AWOLUU_FSR,3.230167,3.067358008995436
CUYDEG_FSR,0.86659,0.6509909600370575
MOCHES_FSR,3.447431,3.3213210548312526
GIMKUJ_FSR,2.761485,2.731600225405503
POCTAD_FSR,1.713882,2.2075651605107707
CIMRUN_FSR,2.2017599999999997,2.3459162235858257
ELAFUT_FSR,2.5256540000000003,2.0896910726635602
KICCAD_FSR,0.8711730000000001,0.8742435035246843
PIJGAR_FSR,1.8264200000000002,1.5247646672133628
HIPMIE_FSR,2.177555,2.1274981596573577
PAMGER_FSR,0.4704000000000002,0.571241562993545
NUZZEN_FSR,0.8880379999999999,1.8667327921351342
ADABEO_FSR,0.7275720000000001,0.6790162021719457
MUQBEG_FSR,3.341443,3.042135762299659
SETCUQ_FSR,3.260545,3.1436430388027334
DOHFOW_FSR,3.576257,3.212112185769427
NUWVUX_FSR,2.915627,2.4896567045898785
GIWYET_FSR,2.952515,2.8670677552187396
ODITUR_FSR,2.8079419999999997,2.555859933225283
UXOLAW_FSR,3.514914,3.0892089539184755
GIZKEG_FSR,2.5879060000000003,2.8954323896330343
EPUMEJ_FSR,0.13573600000000008,0.5213335082539032
FOWGII_FSR,2.888177,2.799297749383942
QEZNIU_FSR,2.342084,2.279556499683084
NIVXAU_FSR,0.3430660000000001,0.5099484805228772
CUYDAC_FSR,0.908876,1.0972019899144891
PETXUI_FSR,2.6343050000000003,2.677957670749824
HORWAM_FSR,0.7218,0.828468661015591
DUKROR_FSR,0.765755,0.41540243624403167
CUPYZP02_FSR,0.8577970000000001,0.7993655603596337
HUPZID_FSR,3.192268,3.211472973288868
XUKYUY_FSR,0.866174,0.8035483353021915
DUZJAK01_FSR,2.195424,2.2137288639243984
OFABIG_FSR,2.748797,2.221759686663169
GERCAK_FSR,0.6857890000000002,0.7454231602261367
QACSAQ_FSR,3.1363,2.951334268025979
BURBAS_FSR,2.404103,2.3110181989444323
WUYRIS_FSR,2.597429,2.3131721563525667
LELCOV_FSR,0.798605,0.6879868992723074
ESATIC_FSR,2.232673,2.0074924743607014
RAMSUT01_FSR,3.0810400000000002,3.1744726258939027
PAZXOD_FSR,0.234922,0.23986907457836795
BESFUD_FSR,0.970892,0.8570708295860736
CIBQUA_FSR,2.8406510000000003,3.0168314836445274
ODOJAT_FSR,4.806987,5.01802199464135
GINJAR_FSR,2.773929,3.059979837410115
DOZQUF_FSR,1.031987,1.0271893199444455
MONPIQ_FSR,3.303612,3.373154224511281
HOKYOX_FSR,1.369826,1.3661135552572317
CUGREC_FSR,4.4096720000000005,4.404146787772049
DIPQIE_FSR,2.98936,3.378486011610769
NARLEZ_FSR,2.383767,2.2588490974099895
ROMTET_FSR,3.086243,3.1348736262784693
PUFYOG_FSR,2.977698,2.8108525831155533
AHAHIB_FSR,3.177025,2.959114512816224
BUKFAQ_FSR,1.442036,0.9801908654137199
KIVGEC_FSR,0.480496,0.5158938780670891
OHETOL_FSR,2.320416,2.3195608214054393
UZAVOH_FSR,0.525447,0.678468627373345
IBEWAN_FSR,2.316331,2.439574978431708
LAWQAD_FSR,2.596071,2.4626473480929167
RAWPOV_FSR,1.9630150000000002,2.1452935365697536
CIQQOK_FSR,3.018711,3.2369102492049424
LOFJOG_FSR,3.223722,3.2218878045901196
KIBRET_FSR,1.6588060000000002,2.370041685150684
ATOMIF_FSR,0.6932680000000002,0.5954063516409639
UNINEL_FSR,2.535918,2.3844420660375065
FIHWOK_FSR,1.2296479999999999,0.9256666902717515
NAGZIH_FSR,0.8578530000000001,1.1369221532368219
ERUCOL_FSR,0.11677699999999992,1.3694718225213476
DIFSER_FSR,1.5359509999999998,1.5053865956801948
LOJLAZ_FSR,0.17973399999999995,0.39932853609507085
EBODEF_FSR,1.990789,2.1899042025004127
GIQRAC_FSR,1.290748,1.492563143251988
UFOGAZ_FSR,4.03246,3.9603458388302784
AXUFAB_FSR,3.349189,3.3647482076732906
NAQFER_FSR,0.8087360000000001,1.5887194499631758
KIGFAH_FSR,2.875328,2.653277069493974
RUVYOX_FSR,2.210711,2.132502049198235
EHESUH_FSR,2.6618320000000004,2.29654200539089
DECBAQ_FSR,0.12912400000000002,-0.0028254312778962106
KOLKOL01_FSR,0.897124,1.0888861917563097
LEZPAJ_FSR,2.4805,2.423871230319967
OKUVEW_FSR,2.059941,2.2280574020463026
TATRAI_FSR,2.637244,2.6661053224293587
BEHBIZ_FSR,0.807238,0.8464060182847105
QETTER_FSR,0.825559,0.7999368234828969
DOCHIN_FSR,2.085691,1.7922159976348702
TIQZUP01_FSR,1.4871139999999998,1.7920592740091301
