MOF,DFT,ML
AGOJOX_FSR,3.15116,3.0051077279320175
VEVZUS_FSR,2.261851,2.1384558842238803
MUVBAI_FSR,1.670221,1.9073356146294862
DAYRIG_FSR,2.353132,2.622467797134003
XEGGIA_FSR,4.252993,3.62573044894359
CUKBEQ_FSR,2.242737,2.21760993115245
BIZPUX_FSR,0.346079,0.753324189885844
GIQXOU_FSR,0.333964,0.4055640736537445
SIJREJ_FSR,2.959957,2.74997676889136
OFOYIR_FSR,1.386259,1.3852005535038079
CAXDEM_FSR,2.231979,2.3039821471995645
PAHTOI_FSR,3.392625,3.3584735363773603
PEGZEI_FSR,0.747047,0.32266664147148194
TIZPUP_FSR,0.978261,1.1859368238915051
IWAXUA_FSR,3.095198,2.8072951543825577
UKINOT_FSR,3.247974,2.566917130009626
MAZNIL_FSR,4.03023,4.016127326176155
GIWYET_FSR,2.952515,2.796524987129249
KIPXIT_FSR,0.918754,0.8713255946984171
ROZXAH_FSR,4.556513,4.5643156833434055
BUHDAL_FSR,0.937634,0.5627511914911133
HIGGUB_FSR,2.455705,2.5478311173811283
FUMDOG_FSR,2.990741,3.1942792504693607
DECMII_FSR,2.597544,2.684979313588263
IWOWIB_FSR,1.825506,1.5280989883643383
QAVROW_FSR,3.23722,3.0085100611384132
PERREL_FSR,2.123145,1.9586808131160156
MIWNEN_FSR,3.023086,3.3410794074941568
RUVMAX_FSR,2.946468,2.636423307399265
FEQREA_FSR,3.24925,3.37997631147087
EXOSEQ_FSR,3.714767,3.8892815458928993
JUYVOO_FSR,3.463796,3.51535630323608
EHODEL_FSR,2.252561,2.275659341782393
RASREK_FSR,3.215019,2.9150627588518976
UGOKUY_FSR,0.205362,0.4602557562123708
GUHJOJ_FSR,2.058745,2.1926145482495896
CDCACD_FSR,4.0711260000000005,3.9674543240808893
ZOHBUV_FSR,2.886452,2.96658367196319
ADAPAX_FSR,2.793043,2.8021293373744176
POPCOO_FSR,3.25223,3.1895299788509477
PUDGIG_FSR,1.116649,1.033783384829699
HALZEA_FSR,3.068455,2.5125101276440653
QIWSEU_FSR,2.887668,2.4758179590268186
XOKQUL_FSR,2.055123,2.018290953673127
VAZMEQ_FSR,2.957105,2.7934255888494515
MEHRIA_FSR,3.222907,3.3937181168584725
ILAZOM_FSR,3.017057,2.8281541951894633
PIJYAL_FSR,3.036349,2.6567360767385195
XEDXUC_FSR,3.484901,3.3354662804672026
XOTSUV_FSR,4.020328,3.9473665398432924
WALZUG_FSR,2.69521,2.7403416781720487
OCUKUV_FSR,2.201675,2.2958622849786012
IYAROR_FSR,0.95802,1.1054535772969771
GIQYOV_FSR,0.33646,0.2780464125425986
JIZCON_FSR,2.486827,2.371054275643408
BOHFAF_FSR,1.619607,1.5007037252511934
FEJLUD_FSR,0.716867,0.8347901033304507
DUXZEC_FSR,1.380562,1.3002925686459441
XEZMIA_FSR,2.871655,2.8304524527368344
AQIDUA_FSR,1.934129,1.6724496045389874
UHIYAN_FSR,0.555213,-0.02070010548264693
IPIPII_FSR,0.925026,0.9067377719504772
TEKRIM_FSR,2.80681,2.573152870092307
PEPXIS_FSR,4.624439,4.325158914737456
QUJKIQ_FSR,2.095957,2.4631621979302794
DUKYAL_FSR,0.387545,0.2443763296231
JIFXOM_FSR,4.768826,4.858514720656613
MIJJIZ_FSR,1.509187,1.4067907942416518
APUVIS_FSR,3.2142310000000003,2.886947539220184
LARYIO_FSR,3.042998,3.0498652688777743
CIBYAO_FSR,2.945598,2.7873690303162943
FODREX_FSR,2.03693,2.0870208013791065
TABPES_FSR,1.516198,1.5962309994024155
FAXNOI_FSR,4.333042,4.053739623281201
QOTJOY_FSR,0.930847,0.644546586284738
KAHKIO_FSR,0.02623,0.47317199520388764
MAWPOS_FSR,2.350048,2.822857411249637
NUHCAV_FSR,2.3185290000000003,2.4152400153027997
HAJBIF_FSR,1.586008,2.248838756523909
VEPJAD_FSR,2.293767,2.1906898744468597
BEZYIQ_FSR,0.8796309999999999,0.5626279502966894
UFAVAZ_FSR,0.869274,0.8449206282534676
XOMPAR_FSR,1.803063,1.9726685431643873
ECEZES_FSR,1.7015900000000002,1.9292964113052815
POKZAS_FSR,2.19897,2.2229086939402363
NEZNAJ_FSR,3.059385,3.2178702679116014
FEQSOK_FSR,2.881579,2.7265261497077233
FAKQEN02_FSR,0.913158,0.3885373497048929
SOCCUJ_FSR,3.351196,3.126762059412423
VALFUL_FSR,2.698017,2.159037608332407
IHUZAO_FSR,6.445777,6.395103983707222
KIHNEU_FSR,2.638872,2.868639221948375
WOKSEW_FSR,3.833578,3.710170918102281
CILQEW_FSR,2.570481,2.5433177783330545
EPAKIQ_FSR,2.612759,2.0620577271833973
FEHJIN_FSR,3.581758,3.4202733976854804
CAYKIY_FSR,2.504163,2.7200569622708493
QEKKUO_FSR,2.214055,2.35779556333544
