,DFT,ML
CEKSEQ02_FSR,0.4994520000000002,0.8347775629259573
SOMMOY_FSR,1.632266,2.1782622451567235
FONQOP01_FSR,3.213095,2.5355504211641673
OGUVES_FSR,0.3890880000000001,1.509443443112307
QULTUO_FSR,1.9336080000000002,2.610747387400373
ROPWEA_FSR,0.949652,1.2194486026271463
FAPZUU_FSR,3.341629,3.8443037339611514
MENTOR_FSR,3.5694589999999997,3.3628453027423006
DUWKAJ_FSR,3.169249,2.8547353487524916
PIGXIN_FSR,3.8005089999999995,3.8695476817607712
WAMZIV_FSR,2.062433,2.0221453618789837
AZEBAK01_FSR,1.7478209999999998,0.9869816094151815
FIMKEU_FSR,1.222751,2.266189467500638
KAQYIL_FSR,1.513072,0.8457051222051817
DEPVUQ_FSR,1.9759070000000003,1.326079752812042
RUCRUE_FSR,3.484628,3.4409602872947715
QUCFEA_FSR,2.074769,2.3983111753542943
AFEGAV_FSR,3.2572590000000003,2.7548711502912013
FELYEB_FSR,2.567014,3.3759324323984146
FIQPAZ_FSR,2.63669,2.9643125136847743
NIFXEI_FSR,2.516786,2.1055902817727556
TIYXIL01_FSR,1.2803099999999998,1.2682521278909604
BEGHAZ_FSR,2.887984,2.864605261462522
TAPHOH_FSR,1.012161,0.8064295086817737
VUNMOI_FSR,0.226469,0.6629364828900535
CIVWAG_FSR,0.25905300000000003,0.23485952690941048
DIYYIW_FSR,3.513457,3.1008433180218873
HAVYAG_FSR,1.450842,2.436348846941172
DURGAY_FSR,4.773436,4.61439458643958
ASEWUQ_FSR,0.9347120000000001,0.9949387690085203
REKPIJ_FSR,0.712083,0.7592044258199491
OFANAM_FSR,0.662147,0.5470823861018417
VOGTER_FSR,2.0091799999999997,2.8996777440284447
PIZGAJ_FSR,1.4563670000000002,1.628236326799147
FODGUB02_FSR,2.7679780000000003,3.038838636981144
FORWUF01_FSR,0.032480000000000064,0.3659416882753135
IJUYIV_FSR,2.282412,2.5358731054341206
NETGEZ_FSR,2.055469,1.9443417714014828
YOTQUV_FSR,2.715554,2.601653010810338
