,DFT,ML
QIWBOO_FSR,0.328422,1.1723244384121276
NUFFAX01_FSR,1.838355,2.1164407581835363
LABTIS_FSR,3.066582,2.8921803526070313
QUPVIH_FSR,2.879269,2.6268217241589777
FAQLER_FSR,0.099118,0.8199782014498851
EKESOC_FSR,0.202814,0.7524707498308771
NIKZUE_FSR,2.905594,2.6517529884488056
MAQDUE_FSR,1.975854,1.999341120256922
GAFXIV_FSR,4.4979010000000015,3.979664761041448
FASDEL_FSR,1.728834,2.223037362938136
OQIJOO_FSR,0.44841,1.1593036061649613
PUCYAO01_FSR,2.250131,2.879944813706894
ZIBGIC_FSR,2.459449,2.303341123295901
RATDAS01_FSR,4.347179,3.8028975075522027
MUQZEE_FSR,3.317975,2.7444709601951196
XOJKUD01_FSR,0.454676,0.6554826376436509
HAHDUR_FSR,1.236324,0.9125163963535456
WACHIU_FSR,2.309129,2.535497590759075
KAXZUG_FSR,3.255789,3.1924404415614873
LAYZUI_FSR,4.447734,4.310848241607253
OQOGAD_FSR,2.219085,2.554381863135056
EPEXUT_FSR,1.476608,2.496374716094266
LONJII_FSR,3.5062300000000004,3.3889719179242093
OFIZEJ_FSR,1.570945,1.3511389761232024
IYESAI_FSR,3.35028,3.3112081887959235
KIGLIX_FSR,2.315292,2.09549344197122
PAPRUU_FSR,0.903909,1.0224316236511264
RAQTIP_FSR,3.675851,2.95525280712134
COMHUI_FSR,2.850952,1.7723965906058297
CIWMIG_FSR,2.93744,2.709919681144724
GEXWIS_FSR,3.0735330000000003,2.579527065473588
KULMIP_FSR,3.056198,2.8482903896800593
KACQAJ_FSR,2.099065,2.188372245251699
ASELER_FSR,3.071542,2.9573439806801076
SNFORM02_FSR,2.985034,3.286499874727056
AFUMCO04_FSR,0.4459550000000001,0.5508954745666319
MOLDIB_FSR,0.17399,0.335241994954913
UTIBIK_FSR,1.975044,1.9078143212956924
QUTQAY_FSR,5.367215,4.785094194036365
HIYPIO_FSR,2.866994,2.602674724790333
LIGRAW_FSR,0.915268,0.5629747364096431
PYNOHG_FSR,2.644001,2.2400035960403253
DEYYEO_FSR,0.905023,0.923336822968583
KUJFOM_FSR,2.30818,2.6263224538938506
FIPGOB_FSR,2.277305,1.9174599293229058
BIKMIT_FSR,0.508574,0.6192077100776459
EMAYUM_FSR,0.6000300000000001,1.124620018698133
IVARAZ01_FSR,3.018311,3.0619480487284676
DEPHIS_FSR,2.442052,2.5939283491705236
NAKNIY_FSR,0.616382,0.8701911110638996
DUGFIW_FSR,2.197741,2.031222890724692
AQOWIN_FSR,3.785995,3.225949549750297
ETOTAJ_FSR,2.979679,3.2767484186406435
JALPAQ_FSR,0.902551,0.8532579130985098
CIJTAT_FSR,1.476762,2.4733449512079417
IFUKUQ_FSR,2.133356,2.3510216023616373
YITVOO_FSR,3.778026,2.9253539229901797
SAPKOL_FSR,4.7648160000000015,4.390649734086242
GOYRIX_FSR,0.614762,0.722048431410883
UHUJIR_FSR,3.605405,3.4861572655526736
USEBOK_FSR,3.839071,4.208580585941565
ARONAY_FSR,1.351027,1.2508142093319883
LEKPEZ_FSR,2.116972,2.3959812762269976
BARJIO_FSR,3.136275,3.132521636248427
GAFLAC_FSR,0.818213,0.9683876756276639
DUZSIC_FSR,2.270553,2.4539580841363176
BOQTAD_FSR,1.368865,1.922110803852739
JIQGEV_FSR,1.421713,1.7774917060838362
MEFSEY_FSR,0.917307,0.9032609437036498
IJOSIK_FSR,3.286569,3.304831453446031
VEYKAO_FSR,2.501706,1.907457219339733
FAVHIV_FSR,2.5601,2.9313206327677293
CAYDOW_FSR,2.064517,2.5958042423127434
HIGGUB_FSR,2.455705,2.633910548906364
CUFODO11_FSR,0.850355,0.8580538749837405
OHIZIO_FSR,0.302312,0.2588627757126867
YIXBAK_FSR,4.116815,4.161137000910969
FETHUI_FSR,2.868647,2.908849003926221
JICDEH_FSR,2.605581,3.4567444439724078
EHIZAX_FSR,2.47306,2.281144631474646
OXUZAK_FSR,2.206038,2.2459395578494927
CUGZUZ_FSR,2.170927,1.7841500574886524
XOVXIQ_FSR,3.146019,2.549030969808584
XEXMEU_FSR,1.897464,1.991765359063082
MOYWAZ_FSR,0.050934,2.072727798498093
BOWLUW_FSR,3.4551730000000003,3.177828411000174
GITFAT_FSR,2.590107,2.63858987244339
MUQBIK_FSR,3.079459,2.4960463556552774
WEZNUM_FSR,0.5456,2.204591349005443
XEYYOR_FSR,2.709587,2.580619417854054
ZASJAG_FSR,2.406427,2.177852573368739
NOFQIK_FSR,1.07247,1.3665888020045713
FOQSEK_FSR,2.304737,1.616927752586939
QEFZOQ_FSR,3.820066,3.3303282353555033
GIHMUI_FSR,2.5035580000000004,1.977985540920976
PAZXOD_FSR,0.234922,0.2868229514589906
LAZROV_FSR,0.6199600000000001,0.6180318071503947
CEGDUO_FSR,3.484306,3.1960286773044473
GEXREI_FSR,2.669668,2.462640613854436
GAJDIH_FSR,1.17581,1.0699310004307527
LEBGEG_FSR,1.514651,2.8055975927848564
OLOJUU_FSR,2.706396,2.223589022968522
DEFGEB_FSR,3.164015,2.988374902682601
XAKNED_FSR,1.263835,1.1157161683747887
DAWHIU_FSR,2.6471240000000003,2.0242080145592922
OBUKII_FSR,0.016909999999999998,1.9398969274264566
TAQQIL_FSR,2.105245,2.0041456621188907
DUWHUA_FSR,2.312232,2.4207814888207544
XECMUP_FSR,3.5118120000000004,3.3896998685812605
CURGUR_FSR,1.1613719999999998,0.8268600513768725
LELMIZ_FSR,1.6826880000000002,2.6714226014277216
VUJPOF_FSR,5.1609,4.768430174568902
MIWNIR_FSR,0.800956,2.6237645355077923
QINGOM_FSR,3.434535,2.683376731506449
NIKBUF_FSR,2.256286,2.1467546550140018
ITOZEY_FSR,0.990779,0.8719660198829784
KATLIC_FSR,0.8664700000000001,0.8215937583077562
BARKOV_FSR,2.975789,2.7992328871248695
HESHET_FSR,3.086519,3.0071936928985465
BELCIH_FSR,2.864943,2.418782412413872
VAZMIU_FSR,2.959587,2.9642928911632183
LOXZOP_FSR,2.583468,2.8696825113524866
VUYSEO_FSR,3.2975480000000004,3.3757099609578347
UYAQER_FSR,2.8744810000000003,2.6972424397508554
DODJUC_FSR,0.003175,1.9632012347541554
PELKOJ_FSR,3.061611,2.8573814540403504
SUNPOH_FSR,1.783389,2.2397102652529846
LURCUX_FSR,2.780897,2.4293482506207518
INOXUE_FSR,4.008937,3.1175703587098837
QIJWOY_FSR,1.132747,1.8224945181624612
IPOYAN_FSR,3.153123,2.905673615259751
QIHPUV_FSR,2.7363310000000003,2.488254830284685
OKOVOA_FSR,2.255048,2.366260982099563
MANMOE_FSR,3.309786,2.8885819950062803
CEJTUH_FSR,2.285934,2.5276465015111533
TAHFEP_FSR,0.095014,0.20748750116464976
OQIPEL_FSR,2.648969,2.9004160959894065
PIZQIA_FSR,0.575786,0.660363404046997
RUKTIB_FSR,0.952376,0.7174220378172862
LOYROG_FSR,0.718183,0.830353889209384
FEXHOG_FSR,0.763849,0.7430999280213015
PURSAX_FSR,2.395253,2.656878179472307
NOBRUT_FSR,0.979582,1.181089846021159
RIFPEB_FSR,0.154645,0.9038946702033179
DUXLEO_FSR,1.884632,2.250805459541853
AFEGAV_FSR,3.257259,3.0177837557210054
FAWHAP_FSR,0.7328060000000001,1.547642907513648
TOBKAY_FSR,2.443752,2.6214575914004428
XAVBIG_FSR,0.62232,0.6723138583312362
EJOQAW_FSR,2.208882,2.637147218652686
PIHCEP_FSR,2.094703,2.3747501943178655
FITCUJ_FSR,4.353152,3.476473895690866
BECQAD_FSR,3.774635,3.222040020601291
MOLROW_FSR,2.075499,2.252812668162221
MUXYIP_FSR,2.78207,3.25357763135003
LUPCUW_FSR,2.696698,2.7477767447291797
AQIHAK_FSR,2.145718,2.104200860486582
ODOJID_FSR,2.336555,2.9252381376630794
GISHAS_FSR,0.810759,0.8471108750136409
USASEO_FSR,1.728523,2.304662608197697
OXUSOQ_FSR,2.874151,2.5148363197563235
MEWWAP_FSR,3.158,2.717307140121168
VIGCAR_FSR,0.35120300000000004,0.8278606448492596
WUXHUT_FSR,0.794894,0.8541967621848343
BUZHUA_FSR,0.941585,0.7963293370984861
MUPZED_FSR,0.462137,0.7125335037940825
XEVMOA_FSR,3.650066,3.1908466782080183
QUKXUR_FSR,3.245996,2.987907910536599
OCUMIL_FSR,0.7112890000000001,0.6683134804098891
POPQOC_FSR,4.949984,4.162364268583598
SUKREX01_FSR,2.991028,2.731535768075396
DIFHUY_FSR,0.666484,0.8021997801767426
LUWSOL_FSR,3.339425,2.868854671848979
SICGIW_FSR,0.530035,0.7413514164791408
NURCUA_FSR,2.030279,2.2078209030465743
QOGFOI_FSR,0.96847,1.8393250510417456
NETGID_FSR,0.7735989999999999,0.6090692326489524
FARKOA_FSR,3.699278,3.6945882060578583
LAPJES_FSR,5.731767,5.578679451023961
FOJVUX_FSR,2.575373,2.5374202733962967
IDIGEJ_FSR,3.192013,2.956100362892535
KEYFEB_FSR,0.269927,0.5702713017868462
LAWLAW_FSR,3.536827,3.195096477978229
SIVWOL_FSR,2.9195290000000003,2.41417575301368
ETCRBI_FSR,2.831528,2.7275266868332757
ANOPID_FSR,3.735257,4.306006626319267
PIPKUW_FSR,3.666202,2.9081926173353914
