refcode,VBM,CBM,BG
ABACUF01_FSR,0.609904,1.244977,0.635073
ABAFUH_FSR,1.566164,3.759203,2.193039
ABALOF_FSR,2.296169,3.430396,1.134227
ABAXUZ_FSR,-0.117977,1.8553060000000001,1.9732830000000001
ABAYEI_FSR,1.24065,3.768875,2.528225
ABAYIM_FSR,2.432023,3.6539879999999996,1.221965
ABAYOS01_FSR,1.917529,3.259998,1.3424690000000001
ABECAM_FSR,-0.13147999999999999,2.61746,2.74894
ABENAY_FSR,0.504999,2.173095,1.668096
ABEREH01_FSR,0.719902,1.471169,0.7512669999999999
ABEWUB_FSR,-0.799425,1.3378379999999999,2.137263
ABEXUD_FSR,1.471726,1.561558,0.08983199999999991
ABEYOX_FSR,0.264698,2.722353,2.457655
ABIFAT01_FSR,1.479698,2.4971229999999998,1.0174250000000002
ABIGEZ_FSR,3.118039,3.585008,0.4669690000000002
ABIQAE_FSR,-0.276924,1.7710720000000002,2.047996
ABITUA_FSR,0.8884489999999999,2.800281,1.911832
ABIVOY_FSR,-0.499371,2.584083,3.083454
ABIWAL_FSR,0.134156,2.814085,2.679929
ABIWEP01_FSR,0.046575,4.593621,4.547046
ABIWUF_FSR,-0.43147299999999994,2.354796,2.786269
ABIXAL01_FSR,0.33111599999999997,2.8880369999999997,2.556921
ABIXAM_FSR,-0.405444,2.441827,2.847271
ABIXIU_FSR,0.21584899999999999,1.13396,0.918111
ABOTUJ_FSR,0.457109,1.411966,0.954857
ABOVOF_FSR,-0.121527,0.522954,0.6444810000000001
ABOVUL_FSR,1.00871,1.523342,0.514632
ABPENC_FSR,-0.509367,2.844284,3.353651
ABPZCU01_FSR,0.537405,1.543336,1.005931
ABPZCU07_FSR,0.50789,1.517352,1.009462
ABUSOG_FSR,1.3730149999999999,1.660822,0.2878069999999999
ABUXUT_FSR,0.707808,1.288665,0.580857
ABXALA01_FSR,0.011486,3.6586529999999997,3.6471669999999996
ABZCUH01_FSR,-0.414703,2.698244,3.112947
ABZCUH05_FSR,-0.48096099999999997,2.573035,3.0539959999999997
ACAFOZ_FSR,0.726337,2.237193,1.510856
ACAKEX_FSR,0.34729099999999996,1.121859,0.7745679999999999
ACATIJ_FSR,0.762968,2.170129,1.4071610000000003
ACAZAG_FSR,0.728402,3.867642,3.13924
ACAZEK_FSR,1.398211,3.9899139999999997,2.591703
ACEGIA_FSR,-0.6477109999999999,3.1613900000000004,3.809101
ACEGOG_FSR,-1.699554,1.9107759999999998,3.61033
ACEKIE_FSR,-0.7799649999999999,2.572101,3.352066
ACEKOK_FSR,-1.7460669999999998,1.064614,2.810681
ACETCO_FSR,0.986619,1.495496,0.5088769999999999
ACIGAX_FSR,1.98803,4.566611,2.5785810000000002
ACIGEB_FSR,1.6071090000000001,4.063726,2.4566169999999996
ACIJAX_FSR,-0.22064,0.466134,0.686774
ACIKAA_FSR,0.154265,3.918705,3.76444
ACIPEJ_FSR,-0.019161,1.041167,1.0603280000000002
ACIRIP_FSR,-0.35128899999999996,3.1940009999999996,3.54529
ACIROV_FSR,-0.212085,3.027511,3.2395959999999997
ACISEM_FSR,0.192884,0.8467399999999999,0.653856
ACISIQ_FSR,0.091244,0.876458,0.7852140000000001
ACISOW_FSR,-0.637696,3.2361419999999996,3.8738379999999997
ACITAK_FSR,1.16392,3.60454,2.44062
ACIWUF_FSR,0.235004,2.666977,2.431973
ACIXAM_FSR,0.333619,2.55225,2.2186310000000002
ACIZIX_FSR,0.361856,3.7592760000000003,3.39742
ACODAA_FSR,-0.524593,-0.48201099999999997,0.04258199999999995
ACOHAE_FSR,-0.540191,2.887228,3.4274190000000004
ACOHEF_FSR,0.080889,2.5904,2.5095110000000003
ACOHUW01_FSR,0.9890680000000001,2.47189,1.4828219999999999
ACOLIP_FSR,-1.615664,1.07433,2.689994
ACOMOX_FSR,-0.575233,2.26504,2.840273
ACOVEU_FSR,2.7556380000000003,3.196813,0.4411750000000003
ACOYEY_FSR,-0.49489399999999995,2.410295,2.905189
ACRNCU_FSR,1.9578740000000001,3.3498080000000003,1.391934
