refcode,BG_PBE,CBM_PBE,VBM_PBE,Direct_PBE
ABACUF01_FSR,0.635073,1.244977,0.609904,False
ABAFUH_FSR,2.1930389999999997,3.759203,1.566164,False
ABALOF_FSR,1.134232,3.43044,2.296208,False
ABAXUZ_FSR,1.973007,1.855009,-0.117998,False
ABAYEI_FSR,2.528225,3.768875,1.24065,False
ABAYIM_FSR,1.221965,3.6539879999999996,2.432023,True
ABAYOS_FSR,1.371715,3.303169,1.931454,False
ABECAM_FSR,2.74894,2.61746,-0.13147999999999999,False
ABENAY_FSR,1.668096,2.173095,0.504999,False
ABEREH_FSR,0.747437,1.440521,0.693084,True
ABEWUB_FSR,2.136836,1.337674,-0.799162,True
ABEXEM_FSR,1.93495,1.0366600000000001,-0.8982899999999999,False
ABEXOW_FSR,1.8995810000000002,0.657199,-1.2423819999999999,False
ABEXUC_FSR,1.916827,0.68293,-1.233897,False
ABEXUD_FSR,0.08983200000000001,1.561558,1.471726,False
ABEYAJ_FSR,1.911096,0.681821,-1.229275,False
ABEYEN_FSR,1.916479,0.714204,-1.202275,False
ABEYIR_FSR,1.928707,0.774768,-1.153939,True
ABEYOX_FSR,2.457655,2.722353,0.264698,True
ABIFAT_FSR,0.967424,2.4578860000000002,1.4904620000000002,False
ABIGEZ_FSR,0.46696899999999997,3.585008,3.118039,True
ABIQAE_FSR,2.047996,1.7710720000000002,-0.276924,False
ABITUA_FSR,1.911832,2.800281,0.8884489999999999,False
ABIVOY_FSR,3.083551,2.5842330000000002,-0.49931800000000004,False
ABIWAL_FSR,2.679965,2.81411,0.13414500000000001,True
ABIWEP_FSR,4.536496,4.57643,0.039934,True
ABIWUF_FSR,2.786405,2.354855,-0.43155,False
ABIXAL01_FSR,2.556921,2.8880369999999997,0.33111599999999997,False
ABIXAM_FSR,2.8473759999999997,2.441832,-0.405544,False
ABOTUJ_FSR,0.954857,1.411966,0.457109,False
ABOVOF_FSR,0.6444810000000001,0.522954,-0.121527,False
ABOVUL_FSR,0.514632,1.523342,1.00871,False
ABPENC_FSR,3.353651,2.844284,-0.509367,True
ABPZCU01_FSR,1.005931,1.543336,0.537405,False
ABUSOG_FSR,0.288117,1.6613639999999998,1.3732469999999999,True
ABUXUT_FSR,0.580857,1.288665,0.707808,False
ABXALA01_FSR,3.6469660000000004,3.658605,0.011639,True
ABZCUH01_FSR,3.112947,2.698244,-0.414703,False
